Country or area, 2000, 2005, 2010, 2012, 2013, 2014, 2015

Afghanistan

Number (thousands), 0, 1200, 10216, 15340, 16807, 18407, 19709

Per 100 inhabitants, 0, 5, 36, 51, 55, 59, 62

Albania

Number (thousands), 30, 1530, 2692, 3500, 3686, 3360, 3401

Per 100 inhabitants, 1, 48, 85, 111, 116, 105, 106

Algeria

Number (thousands), 86, 13661, 32780, 37528, 39517, 43298, 45928

Per 100 inhabitants, 0, 40, 88, 98, 101, 108, 113

American Samoa

Number (thousands), 2, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 3, 0, 0, 0, 0, 0, 

Andorra

Number (thousands), 24, 65, 66, 64, 64, 66, 71

Per 100 inhabitants, 36, 79, 84, 82, 81, 83, 88

Angola

Number (thousands), 26, 1611, 9403, 12785, 13285, 14053, 13885

Per 100 inhabitants, 0, 10, 48, 61, 62, 63, 61

Anguilla

Number (thousands), 2, 13, 26, 26, 26, 26, 26

Per 100 inhabitants, 20, 103, 187, 185, 182, 180, 178

Antigua and Barbuda

Number (thousands), 22, 86, 168, 127, 114, 120, 126

Per 100 inhabitants, 28, 104, 193, 143, 127, 132, 137

Argentina

Number (thousands), 6488, 22156, 57082, 64328, 67362, 61234, 60664

Per 100 inhabitants, 18, 57, 141, 157, 163, 146, 144

Armenia

Number (thousands), 17, 318, 3865, 3323, 3346, 3459, 3442

Per 100 inhabitants, 1, 11, 130, 112, 112, 116, 115

Aruba

Number (thousands), 15, 103, 132, 135, 139, 140, 141

Per 100 inhabitants, 17, 103, 130, 132, 135, 135, 136

Ascension

Number (thousands), 0, 0, 0, 0, 0, 0, 0

Australia

Number (thousands), 8562, 18420, 22500, 24338, 24940, 31010, 31770

Per 100 inhabitants, 44, 90, 100, 106, 107, 131, 133

Austria

Number (thousands), 6117, 8665, 12241, 13588, 13272, 12953, 13471

Per 100 inhabitants, 76, 105, 146, 161, 156, 152, 157

Azerbaijan

Number (thousands), 420, 2242, 9100, 10125, 10130, 10553, 10697

Per 100 inhabitants, 5, 26, 100, 109, 108, 111, 111

Bahamas

Number (thousands), 32, 228, 428, 300, 287, 315, 311

Per 100 inhabitants, 11, 69, 119, 81, 76, 82, 80

Bahrain

Number (thousands), 206, 767, 1567, 2124, 2210, 2329, 2519

Per 100 inhabitants, 31, 87, 125, 161, 166, 173, 185

Bangladesh

Number (thousands), 279, 9000, 67924, 97180, 116553, 126866, 133720

Per 100 inhabitants, 0, 6, 45, 63, 74, 80, 83

Barbados

Number (thousands), 28, 206, 350, 349, 308, 305, 335

Per 100 inhabitants, 11, 75, 125, 123, 108, 107, 116

Belarus

Number (thousands), 49, 4100, 10333, 10676, 11114, 11402, 11448

Per 100 inhabitants, 0, 42, 109, 114, 119, 123, 124

Belgium

Number (thousands), 5629, 9605, 12154, 12313, 12315, 12735, 12938

Per 100 inhabitants, 55, 91, 111, 111, 111, 114, 116

Belize

Number (thousands), 17, 96, 194, 172, 175, 172, 170

Per 100 inhabitants, 7, 35, 63, 53, 53, 51, 49

Benin

Number (thousands), 55, 596, 7075, 8408, 9627, 8660, 9318

Per 100 inhabitants, 1, 7, 74, 84, 93, 82, 86

Bermuda

Number (thousands), 13, 53, 88, 91, 94, 59, 38

Per 100 inhabitants, 21, 82, 136, 140, 144, 91, 58

Bhutan

Number (thousands), 0, 36, 394, 561, 544, 625, 676

Per 100 inhabitants, 0, 6, 55, 76, 72, 82, 87

Bolivia (Plurinational State of)

Number (thousands), 583, 2421, 7179, 9493, 10426, 10450, 10163

Per 100 inhabitants, 7, 26, 71, 90, 98, 96, 92

Bosnia and Herzegovina

Number (thousands), 93, 1594, 3110, 3358, 3488, 3491, 3444

Per 100 inhabitants, 2, 41, 81, 88, 91, 91, 90

Botswana

Number (thousands), 222, 564, 2363, 3082, 3247, 3411, 3475

Per 100 inhabitants, 13, 30, 120, 154, 161, 167, 169

Brazil

Number (thousands), 23188, 86210, 196930, 248324, 271100, 280729, 257814

Per 100 inhabitants, 13, 46, 101, 125, 135, 139, 127

British Virgin Islands

Number (thousands), 0, 0, 48, 49, 53, 47, 42

Per 100 inhabitants, 0, 0, 175, 173, 188, 165, 146

Brunei Darussalam

Number (thousands), 95, 233, 435, 470, 469, 452, 463

Per 100 inhabitants, 29, 63, 109, 114, 112, 107, 108

Bulgaria

Number (thousands), 738, 6245, 10200, 10781, 10487, 9487, 9195

Per 100 inhabitants, 9, 81, 138, 148, 145, 132, 129

Burkina Faso

Number (thousands), 25, 634, 5708, 9976, 11241, 12494, 14447

Per 100 inhabitants, 0, 5, 37, 61, 66, 72, 81

Burundi

Number (thousands), 16, 153, 1678, 2247, 2537, 3193, 4998

Per 100 inhabitants, 0, 2, 18, 23, 25, 30, 46

Cabo Verde

Number (thousands), 20, 82, 372, 425, 499, 613, 646

Per 100 inhabitants, 4, 17, 76, 86, 100, 122, 127

Cambodia

Number (thousands), 131, 1062, 8151, 19105, 20265, 20452, 20851

Per 100 inhabitants, 1, 8, 57, 129, 134, 133, 133

Cameroon

Number (thousands), 103, 2253, 8637, 13108, 15665, 17270, 16807

Per 100 inhabitants, 1, 12, 42, 60, 70, 76, 72

Canada

Number (thousands), 8727, 17017, 25825, 27720, 28360, 28789, 29390

Per 100 inhabitants, 28, 53, 76, 80, 81, 81, 82

Cayman Islands

Number (thousands), 11, 81, 101, 99, 98, 91, 93

Per 100 inhabitants, 26, 166, 181, 172, 168, 154, 155

Central African Rep.

Number (thousands), 5, 100, 979, 1143, 1360, 1156, 982

Per 100 inhabitants, 0, 3, 23, 25, 29, 25, 20

Chad

Number (thousands), 6, 210, 2875, 4402, 4561, 5252, 5466

Per 100 inhabitants, 0, 2, 25, 35, 36, 40, 40

Chile

Number (thousands), 3402, 10570, 19852, 23941, 23661, 23681, 23206

Per 100 inhabitants, 22, 65, 116, 137, 134, 133, 129

China

Number (thousands), 85260, 393406, 859003, 1112155, 1229113, 1286093, 1305738

Per 100 inhabitants, 7, 30, 63, 81, 89, 92, 93

"China,  Hong Kong SAR"

Number (thousands), 5447, 8544, 13794, 16388, 17098, 16959, 16736

Per 100 inhabitants, 80, 124, 196, 229, 237, 234, 229

"China,  Macao SAR"

Number (thousands), 141, 533, 1122, 1613, 1722, 1856, 1896

Per 100 inhabitants, 33, 114, 210, 290, 304, 323, 324

Colombia

Number (thousands), 2257, 21850, 44478, 49066, 50295, 55330, 57327

Per 100 inhabitants, 6, 51, 96, 103, 104, 113, 116

Comoros

Number (thousands), 0, 16, 165, 284, 348, 383, 422

Per 100 inhabitants, 0, 3, 24, 40, 47, 51, 55

Congo

Number (thousands), 70, 558, 3719, 4283, 4660, 4930, 5216

Per 100 inhabitants, 2, 16, 90, 99, 105, 108, 112

Costa Rica

Number (thousands), 212, 1101, 3128, 5378, 7112, 7020, 7536

Per 100 inhabitants, 5, 25, 67, 112, 146, 142, 151

Cote d'Ivoire

Number (thousands), 473, 2349, 15599, 18100, 19391, 22105, 25408

Per 100 inhabitants, 3, 14, 82, 91, 95, 106, 119

Croatia

Number (thousands), 1033, 3650, 4928, 4971, 4721, 4461, 4416

Per 100 inhabitants, 23, 83, 114, 115, 110, 104, 104

Cuba

Number (thousands), 7, 136, 1003, 1682, 1996, 2531, 3335

Per 100 inhabitants, 0, 1, 9, 15, 18, 22, 30

Cyprus

Number (thousands), 218, 783, 1034, 1111, 1100, 1111, 1111

Per 100 inhabitants, 23, 76, 94, 98, 96, 96, 95

Czech Republic

Number (thousands), 4346, 11776, 12934, 13522, 13719, 13913, 13925

Per 100 inhabitants, 42, 115, 123, 127, 128, 130, 129

Dem. P. R. Korea

Number (thousands), 0, 0, 432, 1700, 2420, 2800, 3240

Per 100 inhabitants, 0, 0, 2, 7, 10, 11, 13

Dem. Rep. of the Congo, i, 0, 0, 0, 0, 0, 

Number (thousands), 15, 2746, 11820, 20093, 28232, 37103, 37753

Per 100 inhabitants, 0, 5, 19, 31, 42, 53, 53

Denmark

Number (thousands), 3364, 5449, 6421, 7293, 7031, 7160, 7266

Per 100 inhabitants, 63, 101, 116, 130, 125, 127, 128

Djibouti

Number (thousands), 0, 44, 166, 212, 244, 287, 312

Per 100 inhabitants, 0, 6, 20, 25, 28, 32, 35

Dominica

Number (thousands), 1, 52, 106, 109, 94, 74, 77

Per 100 inhabitants, 2, 74, 148, 152, 130, 102, 106

Dominican Republic

Number (thousands), 705, 3623, 8893, 8934, 9200, 8304, 8797

Per 100 inhabitants, 8, 39, 89, 87, 88, 79, 83

Ecuador

Number (thousands), 482, 6246, 14781, 16457, 16626, 16606, 12888

Per 100 inhabitants, 4, 45, 99, 106, 106, 104, 79

Egypt

Number (thousands), 1360, 13630, 70661, 96799, 99705, 95316, 94016

Per 100 inhabitants, 2, 19, 91, 120, 122, 114, 111

El Salvador

Number (thousands), 744, 2412, 7700, 8649, 8992, 9193, 9334

Per 100 inhabitants, 12, 40, 124, 137, 142, 144, 145

Equatorial Guinea

Number (thousands), 5, 97, 399, 501, 511, 517, 533

Per 100 inhabitants, 1, 16, 57, 68, 67, 66, 67

Eritrea

Number (thousands), 0, 40, 185, 305, 355, 417, 475

Per 100 inhabitants, 0, 1, 3, 5, 6, 6, 7

Number (thousands), 557, 1445, 1653, 2071, 2055, 2063, 1904

Per 100 inhabitants, 41, 109, 127, 160, 160, 161, 149

Ethiopia

Number (thousands), 18, 411, 6854, 20524, 25647, 30490, 42312

Per 100 inhabitants, 0, 1, 8, 22, 27, 32, 43

Falkland Is. (Malvinas)

Number (thousands), 0, 1, 3, 3, 4, 4, 5

Per 100 inhabitants, 0, 26, 108, 114, 119, 137, 164

Faroe Islands

Number (thousands), 17, 42, 59, 59, 60, 61, 63

Per 100 inhabitants, 37, 86, 120, 119, 121, 124, 127

Fiji

Number (thousands), 55, 205, 698, 859, 930, 876, 966

Per 100 inhabitants, 7, 25, 81, 98, 106, 99, 108

Finland

Number (thousands), 3729, 5270, 8390, 9320, 7411, 7603, 7399

Per 100 inhabitants, 72, 100, 156, 172, 137, 140, 136

France

Number (thousands), 29052, 48088, 57785, 62260, 63324, 65425, 66681

Per 100 inhabitants, 49, 78, 91, 97, 99, 101, 103

French Polynesia

Number (thousands), 40, 120, 216, 228, 243, 255, 268

Per 100 inhabitants, 17, 47, 81, 83, 88, 91, 95

Gabon

Number (thousands), 120, 737, 1610, 2558, 2745, 2933, 2958

Per 100 inhabitants, 10, 53, 103, 157, 164, 171, 169

Gambia

Number (thousands), 6, 247, 1478, 1526, 1849, 2284, 2586

Per 100 inhabitants, 0, 17, 88, 85, 100, 120, 131

Georgia

Number (thousands), 195, 1174, 3978, 4699, 4993, 5401, 5551

Per 100 inhabitants, 4, 26, 91, 108, 115, 125, 129

Germany

Number (thousands), 48202, 79271, 88400, 92400, 100034, 99530, 96360

Per 100 inhabitants, 58, 95, 106, 112, 121, 120, 117

Ghana

Number (thousands), 130, 2875, 17437, 25618, 28026, 30361, 35008

Per 100 inhabitants, 1, 13, 72, 101, 108, 115, 130

Gibraltar

Number (thousands), 6, 20, 30, 35, 0, 38, 

Per 100 inhabitants, 20, 69, 103, 119, 0, 130, 

Greece

Number (thousands), 5932, 10260, 12293, 13360, 13000, 12271, 12682

Per 100 inhabitants, 54, 93, 111, 120, 117, 110, 114

Greenland

Number (thousands), 15, 46, 57, 59, 60, 61, 61

Per 100 inhabitants, 27, 82, 101, 105, 106, 106, 107

Grenada

Number (thousands), 4, 47, 122, 130, 133, 117, 120

Per 100 inhabitants, 4, 46, 117, 123, 126, 110, 112

Guam

Number (thousands), 27, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 18, 0, 0, 0, 0, 0, 

Guatemala

Number (thousands), 857, 4510, 18068, 20787, 21716, 16912, 18121

Per 100 inhabitants, 8, 36, 126, 138, 140, 107, 111

Guernsey

Number (thousands), 22, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 35, 0, 0, 0, 0, 0, 

Guinea

Number (thousands), 42, 189, 4000, 5585, 7436, 8684, 10764

Per 100 inhabitants, 0, 2, 37, 49, 63, 72, 87

Guinea-Bissau

Number (thousands), 0, 99, 677, 1049, 940, 1108, 1238

Per 100 inhabitants, 0, 7, 43, 63, 55, 63, 69

Guyana

Number (thousands), 40, 281, 560, 547, 555, 567, 543

Per 100 inhabitants, 5, 37, 71, 69, 69, 71, 67

Haiti

Number (thousands), 55, 500, 4000, 6095, 7160, 6769, 7412

Per 100 inhabitants, 1, 5, 40, 60, 69, 65, 70

Honduras

Number (thousands), 155, 1281, 9505, 7370, 7767, 7725, 8048

Per 100 inhabitants, 2, 19, 125, 93, 96, 94, 96

Hungary

Number (thousands), 3076, 9320, 12012, 11579, 11590, 11726, 11786

Per 100 inhabitants, 30, 92, 120, 116, 116, 118, 119

Iceland

Number (thousands), 215, 283, 341, 352, 356, 370, 384

Per 100 inhabitants, 76, 95, 107, 108, 108, 111, 114

India

Number (thousands), 3577, 90140, 752190, 864721, 886304, 944009, 1011054

Per 100 inhabitants, 0, 8, 62, 70, 71, 74, 79

Indonesia

Number (thousands), 3669, 46910, 211290, 281964, 313227, 325583, 338426

Per 100 inhabitants, 2, 21, 88, 114, 125, 129, 132

Iran (Islamic Rep. of)

Number (thousands), 963, 8511, 54052, 58158, 65246, 68891, 74219

Per 100 inhabitants, 1, 12, 73, 76, 84, 88, 93

Iraq

Number (thousands), 0, 1533, 23264, 26756, 32450, 33000, 33559

Per 100 inhabitants, 0, 6, 75, 82, 96, 95, 94

Ireland

Number (thousands), 2461, 4270, 4701, 5014, 4881, 4914, 4902

Per 100 inhabitants, 65, 103, 105, 110, 105, 105, 104

Israel

Number (thousands), 4400, 7757, 9111, 9225, 9500, 9500, 10570

Per 100 inhabitants, 73, 117, 123, 121, 123, 121, 133

Italy

Number (thousands), 42246, 71500, 93666, 97189, 96863, 94226, 92520

Per 100 inhabitants, 74, 122, 155, 160, 159, 154, 151

Jamaica

Number (thousands), 367, 1981, 3182, 2715, 2846, 3005, 3137

Per 100 inhabitants, 14, 74, 116, 98, 102, 107, 112

Japan

Number (thousands), 66784, 96484, 123287, 141129, 147888, 152696, 158591

Per 100 inhabitants, 53, 76, 97, 111, 116, 120, 125

Jersey

Number (thousands), 45, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 52, 0, 0, 0, 0, 0, 

Jordan

Number (thousands), 389, 3138, 6620, 8984, 10314, 11092, 13798

Per 100 inhabitants, 8, 60, 103, 128, 142, 148, 179

Kazakhstan

Number (thousands), 197, 5398, 19403, 30235, 30365, 28596, 31390

Per 100 inhabitants, 1, 36, 122, 186, 185, 172, 187

Kenya

Number (thousands), 127, 4612, 24969, 30732, 31830, 33633, 37716

Per 100 inhabitants, 0, 13, 61, 71, 72, 74, 81

Kiribati

Number (thousands), 0, 1, 11, 18, 20, 30, 41

Per 100 inhabitants, 0, 1, 11, 18, 20, 29, 39

Kuwait

Number (thousands), 476, 1382, 3979, 5100, 6410, 7600, 8305

Per 100 inhabitants, 25, 60, 133, 157, 190, 218, 232

Kyrgyzstan

Number (thousands), 9, 542, 5275, 6798, 6737, 7563, 7579

Per 100 inhabitants, 0, 11, 99, 124, 121, 134, 133

Lao People's Dem. Rep.

Number (thousands), 13, 658, 4003, 4300, 4613, 4619, 3727

Per 100 inhabitants, 0, 11, 63, 65, 68, 67, 53

Latvia

Number (thousands), 401, 1872, 2306, 2631, 2558, 2384, 2579

Per 100 inhabitants, 17, 84, 110, 128, 125, 117, 127

Lebanon

