Country or area, 2000, 2005, 2010, 2012, 2013, 2014, 2015
Number (thousands), 743, 994, 2864, 3755, 3885, 4387, 4400

Per 100 inhabitants, 23, 25, 66, 81, 81, 88, 87

Lesotho

Number (thousands), 22, 250, 987, 1545, 1790, 2139, 2237

Per 100 inhabitants, 1, 13, 49, 75, 86, 102, 106

Liberia

Number (thousands), 2, 160, 1571, 2380, 2551, 3225, 3652

Per 100 inhabitants, 0, 5, 40, 57, 59, 73, 81

Libya

Number (thousands), 40, 2000, 10900, 9587, 10235, 10076, 9918

Per 100 inhabitants, 1, 36, 180, 156, 165, 161, 157

Liechtenstein

Number (thousands), 10, 28, 36, 36, 38, 41, 41

Per 100 inhabitants, 30, 79, 98, 98, 104, 109, 109

Lithuania

Number (thousands), 524, 4353, 4891, 4997, 4566, 4268, 4184

Per 100 inhabitants, 15, 132, 159, 165, 151, 142, 140

Luxembourg

Number (thousands), 303, 510, 727, 761, 788, 802, 807

Per 100 inhabitants, 70, 111, 143, 145, 149, 149, 149

Madagascar

Number (thousands), 63, 510, 7712, 8779, 8461, 9714, 11152

Per 100 inhabitants, 0, 3, 37, 39, 37, 41, 46

Malawi

Number (thousands), 49, 421, 3117, 4647, 5290, 5633, 6116

Per 100 inhabitants, 0, 3, 21, 29, 32, 33, 35

Malaysia

Number (thousands), 5122, 19545, 33859, 41325, 43005, 44929, 44111

Per 100 inhabitants, 22, 76, 120, 141, 145, 149, 144

Maldives

Number (thousands), 8, 204, 494, 561, 625, 666, 740

Per 100 inhabitants, 3, 68, 152, 166, 181, 189, 207

Mali

Number (thousands), 10, 762, 7440, 14613, 19749, 23506, 22699

Per 100 inhabitants, 0, 6, 53, 98, 129, 149, 140

Malta

Number (thousands), 114, 324, 456, 532, 557, 546, 558

Per 100 inhabitants, 28, 78, 107, 124, 130, 127, 129

Marshall Islands

Number (thousands), 0, 1, 0, 0, 0, 16, 16

Per 100 inhabitants, 1, 1, 0, 0, 0, 29, 29

Mauritania

Number (thousands), 15, 746, 2776, 4025, 3988, 3753, 3644

Per 100 inhabitants, 1, 24, 77, 106, 103, 94, 89

Mauritius

Number (thousands), 180, 657, 1191, 1486, 1534, 1652, 1762

Per 100 inhabitants, 15, 54, 97, 120, 123, 132, 141

Mayotte 1

Number (thousands), 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 

Mexico

Number (thousands), 14078, 47129, 91383, 100727, 106748, 104798, 106831

Per 100 inhabitants, 14, 43, 78, 83, 87, 85, 85

Micronesia (Fed. States of)

Number (thousands), 0, 14, 28, 31, 31, 0, 

Per 100 inhabitants, 0, 13, 27, 30, 30, 0, 

Monaco

Number (thousands), 14, 17, 23, 33, 35, 34, 34

Per 100 inhabitants, 43, 51, 64, 88, 94, 88, 89

Mongolia

Number (thousands), 155, 557, 2510, 3375, 2878, 3027, 3068

Per 100 inhabitants, 6, 22, 93, 121, 101, 105, 105

Montenegro

Number (thousands), 0, 543, 1170, 991, 994, 1013, 1008

Per 100 inhabitants, 0, 88, 189, 160, 160, 163, 162

Montserrat

Number (thousands), 0, 0, 4, 4, 5, 5, 5

Per 100 inhabitants, 10, 0, 85, 83, 88, 88, 97

Morocco

Number (thousands), 2342, 12393, 31982, 39016, 42424, 44115, 43080

Per 100 inhabitants, 8, 41, 101, 120, 129, 132, 127

Mozambique

Number (thousands), 51, 1504, 7224, 8805, 12401, 18483, 20135

Per 100 inhabitants, 0, 7, 30, 35, 48, 70, 74

Myanmar

Number (thousands), 13, 129, 594, 3730, 6832, 29029, 41529

Per 100 inhabitants, 0, 0, 1, 7, 13, 54, 77

Namibia

Number (thousands), 82, 449, 1950, 2147, 2728, 2671, 2443

Per 100 inhabitants, 4, 22, 90, 95, 118, 114, 102

Nauru

Number (thousands), 1, 0, 6, 7, 0, 0, 

Per 100 inhabitants, 12, 0, 62, 68, 0, 0, 

Nepal

Number (thousands), 10, 227, 9196, 16609, 21362, 23021, 27516

Per 100 inhabitants, 0, 1, 34, 60, 77, 82, 97

Netherlands

Number (thousands), 10755, 15834, 19179, 19717, 19467, 19562, 20809

Per 100 inhabitants, 68, 97, 115, 118, 116, 116, 124

New Caledonia

Number (thousands), 50, 134, 221, 231, 241, 243, 246

Per 100 inhabitants, 24, 59, 90, 91, 94, 94, 93

New Zealand

Number (thousands), 1542, 3530, 4710, 4922, 4766, 5100, 5600

Per 100 inhabitants, 40, 85, 108, 110, 106, 112, 122

Nicaragua

Number (thousands), 90, 1119, 3962, 5852, 6809, 7068, 7264

Per 100 inhabitants, 2, 21, 68, 98, 112, 115, 116

Niger

Number (thousands), 2, 324, 3669, 5396, 7006, 8236, 8959

Per 100 inhabitants, 0, 2, 23, 31, 39, 44, 47

Nigeria

Number (thousands), 30, 18587, 87298, 112778, 127246, 138960, 150830

Per 100 inhabitants, 0, 13, 55, 67, 73, 78, 82

Niue

Number (thousands), 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 22, 0, 0, 0, 0, 0, 

Northern Mariana Islands

Number (thousands), 3, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 4, 0, 0, 0, 0, 0, 

Norway

Number (thousands), 3224, 4754, 5599, 5798, 5863, 5913, 5841

Per 100 inhabitants, 72, 103, 114, 116, 116, 116, 114

Oman

Number (thousands), 162, 1333, 4606, 5278, 5617, 6194, 6647

Per 100 inhabitants, 7, 53, 164, 159, 155, 158, 160

Pakistan

Number (thousands), 306, 12771, 99186, 120151, 127737, 135762, 125900

Per 100 inhabitants, 0, 8, 57, 67, 70, 73, 67

Palau

Number (thousands), 0, 6, 15, 17, 18, 19, 24

Per 100 inhabitants, 0, 30, 71, 83, 86, 91, 112

Panama

Number (thousands), 410, 1749, 6646, 6214, 6205, 6205, 6947

Per 100 inhabitants, 13, 52, 181, 163, 161, 158, 174

Papua New Guinea

Number (thousands), 9, 75, 1909, 2709, 3000, 3359, 3560

Per 100 inhabitants, 0, 1, 28, 38, 41, 45, 47

Paraguay

Number (thousands), 821, 1887, 5921, 6794, 7053, 7305, 7412

Per 100 inhabitants, 15, 32, 92, 102, 104, 106, 105

Peru, 0, 0, 0, 0, 0, 0, 

Number (thousands), 1274, 5583, 29115, 29388, 29793, 31880, 34236

Per 100 inhabitants, 5, 20, 100, 98, 98, 104, 110

Philippines

Number (thousands), 6454, 34779, 83150, 101978, 102824, 111326, 120255

Per 100 inhabitants, 8, 41, 89, 105, 105, 111, 118

Poland

Number (thousands), 6747, 29166, 46952, 54086, 56973, 56905, 56838

Per 100 inhabitants, 18, 76, 123, 142, 149, 149, 149

Portugal

Number (thousands), 6665, 11447, 12210, 11918, 11991, 11896, 11715

Per 100 inhabitants, 65, 109, 115, 112, 113, 112, 110

Puerto Rico

Number (thousands), 1318, 1993, 2934, 3050, 3085, 3209, 3205

Per 100 inhabitants, 35, 53, 79, 83, 84, 87, 87

Qatar

Number (thousands), 121, 717, 2186, 2601, 3310, 3306, 3610

Per 100 inhabitants, 20, 87, 125, 127, 153, 146, 154

Republic of Korea

Number (thousands), 26816, 38342, 50767, 53624, 54681, 57290, 58935

Per 100 inhabitants, 58, 82, 105, 109, 111, 116, 118

Republic of Moldova

Number (thousands), 139, 1090, 2551, 3584, 3697, 3738, 3713

Per 100 inhabitants, 3, 29, 71, 102, 106, 108, 108

Romania

Number (thousands), 2499, 13354, 24360, 22840, 22910, 22920, 23120

Per 100 inhabitants, 11, 60, 111, 105, 106, 106, 107

Russian Federation

Number (thousands), 3263, 120000, 237689, 208065, 218300, 221030, 227288

Per 100 inhabitants, 2, 83, 166, 145, 153, 155, 160

Rwanda

Number (thousands), 39, 223, 3549, 5691, 6689, 7747, 8760

Per 100 inhabitants, 0, 2, 33, 50, 57, 64, 70

Saint Helena

Number (thousands), 0, 0, 0, 0, 0, 0, 1

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 31

Saint Kitts and Nevis

Number (thousands), 1, 51, 80, 76, 77, 65, 73

Per 100 inhabitants, 3, 104, 153, 142, 142, 119, 132

Saint Lucia

Number (thousands), 3, 106, 198, 216, 212, 188, 188

Per 100 inhabitants, 2, 64, 112, 119, 116, 103, 102

Saint Vincent-Grenadines

Number (thousands), 2, 71, 132, 127, 125, 115, 113

Per 100 inhabitants, 2, 65, 121, 116, 115, 105, 104

Samoa

Number (thousands), 3, 24, 90, 100, 100, 107, 113

Per 100 inhabitants, 1, 13, 48, 53, 52, 56, 59

San Marino

Number (thousands), 15, 17, 31, 36, 37, 38, 37

Per 100 inhabitants, 54, 58, 99, 115, 117, 119, 115

Sao Tome and Principe

Number (thousands), 0, 12, 103, 122, 125, 129, 132

Per 100 inhabitants, 0, 8, 58, 65, 65, 65, 65

Saudi Arabia

Number (thousands), 1376, 14164, 51564, 53000, 53104, 52735, 52796

Per 100 inhabitants, 7, 57, 189, 187, 184, 180, 177

Senegal

Number (thousands), 250, 1730, 8344, 11471, 13134, 14380, 14959

Per 100 inhabitants, 3, 15, 64, 84, 93, 99, 100

Serbia

Number (thousands), 0, 5511, 9915, 9138, 9199, 9345, 9156

Per 100 inhabitants, 0, 67, 125, 118, 119, 122, 121

Seychelles

Number (thousands), 26, 59, 118, 136, 137, 151, 148

Per 100 inhabitants, 33, 68, 129, 148, 147, 162, 158

Sierra Leone

Number (thousands), 12, 0, 2000, 2210, 4000, 4757, 5657

Per 100 inhabitants, 0, 0, 35, 37, 66, 77, 90

Singapore

Number (thousands), 2747, 4385, 7385, 8068, 8438, 8104, 8211

Per 100 inhabitants, 70, 98, 145, 152, 156, 147, 146

Slovakia

Number (thousands), 1244, 4540, 5925, 6094, 6208, 6378, 6676

Per 100 inhabitants, 23, 84, 109, 112, 114, 117, 122

Slovenia

Number (thousands), 1216, 1759, 2122, 2241, 2284, 2326, 2354

Per 100 inhabitants, 61, 88, 103, 108, 110, 112, 113

Solomon Islands

Number (thousands), 1, 6, 116, 302, 323, 377, 425

Per 100 inhabitants, 0, 1, 22, 55, 58, 66, 73

Somalia

Number (thousands), 80, 500, 648, 2300, 5183, 5500, 5836

Per 100 inhabitants, 1, 6, 7, 23, 49, 51, 52

South Africa

Number (thousands), 8339, 33960, 50372, 68394, 76865, 79281, 85197

Per 100 inhabitants, 19, 70, 98, 131, 146, 149, 159

South Sudan

Number (thousands), 0, 0, 1500, 2300, 2853, 2876, 2899

Per 100 inhabitants, 0, 0, 14, 21, 25, 25, 24

Spain

Number (thousands), 24265, 42694, 51389, 50665, 50159, 50806, 50926

Per 100 inhabitants, 60, 98, 111, 108, 107, 108, 108

Sri Lanka

Number (thousands), 430, 3362, 17359, 19333, 20315, 22123, 24385

Per 100 inhabitants, 2, 17, 84, 92, 96, 103, 113

State of Palestine

Number (thousands), 7, 568, 2604, 3135, 3190, 3198, 3531

Per 100 inhabitants, 0, 16, 65, 74, 74, 72, 78

Sudan

Number (thousands), 23, 1828, 18093, 27659, 27658, 27797, 27939

Per 100 inhabitants, 0, 5, 42, 74, 73, 72, 71

Suriname

Number (thousands), 41, 233, 521, 569, 869, 928, 991

Per 100 inhabitants, 9, 47, 99, 106, 161, 171, 181

Swaziland

Number (thousands), 33, 200, 726, 805, 893, 917, 941

Per 100 inhabitants, 3, 18, 61, 65, 71, 72, 73

Sweden

Number (thousands), 6372, 9104, 10992, 11848, 12014, 12313, 12639

Per 100 inhabitants, 72, 101, 117, 125, 126, 128, 130

Switzerland

Number (thousands), 4639, 6834, 9644, 10561, 11049, 11150, 11700

Per 100 inhabitants, 65, 92, 123, 132, 137, 137, 142

Syrian Arab Republic

Number (thousands), 30, 2950, 11696, 12980, 12291, 14040, 13904

Per 100 inhabitants, 0, 16, 54, 59, 56, 64, 62

Tajikistan

Number (thousands), 1, 265, 5941, 6528, 7537, 7999, 8489

Per 100 inhabitants, 0, 4, 78, 82, 92, 95, 99

Thailand

Number (thousands), 3056, 30460, 71726, 85012, 93849, 97096, 84797

Per 100 inhabitants, 5, 46, 108, 127, 140, 144, 126

TFYR of Macedonia

Number (thousands), 116, 1131, 2153, 2235, 2237, 2224, 2223

Per 100 inhabitants, 6, 54, 102, 106, 106, 106, 105

Timor-Leste

Number (thousands), 0, 33, 473, 621, 650, 1376, 1377

Per 100 inhabitants, 0, 3, 44, 56, 57, 119, 117

Togo

Number (thousands), 50, 434, 2602, 3312, 4263, 4516, 4657

Per 100 inhabitants, 1, 8, 41, 50, 63, 65, 65

Tokelau

Number (thousands), 0, 0, 0, 0, 0, 0, 

Per 100 inhabitants, 0, 0, 0, 0, 0, 0, 

Tonga

Number (thousands), 0, 30, 54, 56, 58, 68, 70

Per 100 inhabitants, 0, 30, 52, 53, 55, 64, 66

Trinidad and Tobago

Number (thousands), 162, 924, 1894, 1884, 1944, 1981, 2123

Per 100 inhabitants, 13, 71, 143, 141, 145, 147, 158

Tunisia

Number (thousands), 119, 5681, 11114, 12844, 12712, 14284, 14598

Per 100 inhabitants, 1, 57, 105, 118, 116, 128, 130

Turkey

Number (thousands), 16133, 43609, 61770, 67681, 69661, 71888, 73639

Per 100 inhabitants, 26, 64, 86, 91, 93, 95, 96

Turkmenistan

Number (thousands), 8, 105, 3198, 5900, 6125, 7206, 7842

Per 100 inhabitants, 0, 2, 63, 114, 117, 136, 146

Tuvalu

Number (thousands), 0, 1, 2, 3, 3, 4, 4

Per 100 inhabitants, 0, 13, 16, 28, 34, 38, 40

Uganda

Number (thousands), 127, 1315, 12828, 16356, 18069, 20366, 20220

Per 100 inhabitants, 1, 5, 38, 45, 48, 52, 50

Ukraine

Number (thousands), 819, 30014, 53929, 59344, 62459, 61170, 60720

Per 100 inhabitants, 2, 64, 117, 130, 138, 144, 144

United Arab Emirates

Number (thousands), 1428, 4534, 10926, 13775, 16064, 16819, 17943

Per 100 inhabitants, 47, 109, 129, 150, 172, 178, 187

United Kingdom

Number (thousands), 43452, 65472, 76730, 78329, 78674, 78461, 80284

Per 100 inhabitants, 74, 109, 124, 125, 125, 124, 126

United Rep. of Tanzania

Number (thousands), 111, 2964, 20984, 27219, 27443, 31863, 39666

Per 100 inhabitants, 0, 8, 47, 57, 56, 63, 76

United States

Number (thousands) 109 478, 0, 203700, 285118, 304838, 310698, 355500, 382307

Per 100 inhabitants, 38, 68, 91, 96, 97, 110, 118

United States Virgin Is.Ties

Number (thousands), 35, 80, 0, 0, 0, 0, 

Per 100 inhabitants, 32, 75, 0, 0, 0, 0, 

Uruguay

Number (thousands), 411, 1155, 4437, 4995, 5268, 5497, 5495

Per 100 inhabitants, 12, 35, 132, 147, 155, 161, 160

Uzbekistan

Number (thousands), 53, 720, 20952, 20274, 21500, 21639, 21783

Per 100 inhabitants, 0, 3, 75, 71, 74, 74, 73

Vanuatu

Number (thousands), 0, 13, 170, 146, 127, 156, 175

Per 100 inhabitants, 0, 6, 72, 59, 50, 60, 66

Venezuela (Boliv. Rep. of)

Number (thousands), 5447, 12496, 27880, 30569, 30896, 30528, 29094

Per 100 inhabitants, 22, 47, 96, 102, 102, 99, 93

Viet Nam

Number (thousands), 789, 9593, 111570, 131674, 123736, 136148, 122000

Per 100 inhabitants, 1, 11, 125, 145, 135, 147, 131

Wallis and Futuna Islands

Number (thousands), 0, 0, 0, 0, 0, 0, 

Yemen

Number (thousands), 32, 2278, 11085, 13900, 16845, 17100, 17359

Per 100 inhabitants, 0, 11, 49, 58, 69, 68, 68

Zambia

Number (thousands), 99, 950, 5447, 10525, 10396, 10115, 11558

Per 100 inhabitants, 1, 8, 41, 75, 72, 67, 74

Zimbabwe

Number (thousands), 266, 647, 7700, 12614, 13633, 11799, 12757

Per 100 inhabitants, 2, 5, 59, 92, 96, 81, 85
